March 23, 2006,032306_Gross_Receipts_and_Prizes_FINAL.txt
August 15, 2014,8-15-14_1M_Duncanville.txt
May 24, 2010,20100524-50k-GReed.txt
October 01, 2008,10012008_JHahn20k.txt
March 23, 2001,62.txt
May 17, 2010,051710MM-1M.txt
January 11, 2007,011107_TTS120706Winner.txt
May 26, 2005,2may05.txt
March 5, 2004,mar_2004_15.txt
July 22, 2005,2jul05.txt
October 7, 2010,20101007-TIX-FRamirez.txt
June 21, 2005,4jun05.txt
June 29, 2011,062911-Winters-Price_Is_Right_Vegas.txt
May 8, 2012,050812_Advertising_Services_Successful_Proposer.txt
May 29, 2002,may_2002_13.txt
November 5, 2008,110508JandaTxRangersLtdCycleEl_Campo.txt
December 7, 2004,dec_2004_13.txt
Dec. 4, 2013,120413_DFW_SO_520K.txt
December 7, 2007,120707_Bingo3rdQTRAllocations.txt
April 21, 2010,042110-Texans-VIP-Suite-Gonzales.txt
January 24, 2007,012407_MonthlyBonus-HansonFamilyTrust.txt
April 19, 2004,apr_2004_07.txt
January 18, 2012,011712-PB-1M-bWeatherford-Lone-Oak.txt
March 18, 2010,031810-1M-Duncan-Houston-BlkBstr.txt
July 9, 2009,070909-1Million-Blockbuster-West.txt
March 18, 2014,03182014_MM_Jackpot_Alert.txt
December 07, 2007,120707_1mil-JNiehaus.txt
December 07, 2006,120706_SeabrookMM2ndTierWinner--Southard.txt
July 30, 2014,7-30-14_Cowboys_Press_Release.txt
July 9, 2001,41.txt
December 08, 2006,120806_DealOrNoDealJamesEAllen.txt
September 18, 2008,091808SalesRelease.txt
September 18, 2009,20090918-100k-CSanders.txt
December 21, 2004,dec_2004_06.txt
May 12, 2011,051211-Wkly_Grd-Hope_Trust.txt
May 3, 2002,may_2002_19.txt
October 21, 2003,oct_2003_07.txt
May 26, 2006,052606_vegas_action_scratch.txt
July 8, 2013,07082013_Veterans_Cash.txt
September 18, 2002,sep_2002_12.txt
September 18, 2003,sep_2003_04.txt
October 21, 2009,102109_2nd_Chance-Lucky_Rider-Kaiser-Arlington.txt
October 21, 2008,102108SuperSetForLifeSmith.txt
October 29, 2004,oct_2004_01.txt
July 31, 2009,20090731-1M-DHeller.txt
September 12, 2002,sep_2002_15.txt
October 12, 2009,20091012PowerballNewsRelease.txt
May 11, 2011,051111-30M-LT-Willingford-Houston.txt
Sept. 15, 2014,FY_2014_Press_Release.txt
Dec. 1, 2014,12-1-14_1_M_Mega_Millions_Pearland.txt
May 13, 2008,20080512-TCronin-SetForLife.txt
May 28, 2008,05272008_DElliott-500k.txt
May 13, 2005,5may05.txt
October 12, 2007,101207_LT_7Million.txt
June 20, 2003,jun_2003_04.txt
July 22, 2004,jul_2004_05.txt
July 2, 2002,jul_2002_10.txt
July 2, 2003,jul_2003_13.txt
March 17, 2005,9mar05.txt
March 17, 2004,mar_2004_06.txt
March 17, 2003,mar_2003_07.txt
June 16, 2004,jun_2004_08.txt
December 8, 2003,dec_2003_09.txt
May 5, 2005,9may05.txt
July 2, 2009,070209_Weekly_Bonus-Kanady-Abilene.txt
March 17, 2009,031709_TTS_winner-LaMarque.txt
July 28, 2004,jul_2004_02.txt
October 14, 2011,101411-SO1M-RAllen-Buffalo.txt
August 22, 2003,aug_2003_06.txt
June 15, 2004,jun_2004_10.txt
November 14, 2002,nov_2002_05.txt
November 14, 2003,nov_2003_09.txt
March 08, 2007,030807_Play_Responsibly.txt
February 28, 2011,022811_Texas_Lottery_Black-Industry_Publications.txt
September 30, 2010,20100930-GreenBall.txt
September 08, 2011,0908-1M-JPorter.txt
June 29, 2010,20100629-TTSPrizeDeadline.txt
December 30, 2009,20091230-VIP-CWatkins.txt
December 30, 2010,MM_release12_30_10.txt
June 9, 2003,jun_2003_13.txt
June 9, 2006,060906_Lubbock_LT_Winners.txt
December 30, 2002,dec_2002_01.txt
February 13, 2008,021308-VMathis_1_mil.txt
Aug. 9, 2013,0809132PBClaims.txt
August 7, 2001,27.txt
August 18, 2010,20100818-1M-BRichardson.txt
April 1, 2011,040111-TXBLACK-Hoffman-Tomball.txt
February 13, 2002,feb_2002_07.txt
March 11, 2004,mar_2004_10.txt
Feb. 16, 2012,021512-TTS-Schultz-Buffalo.txt
March 20, 2007,032007_1MillionCashBlastJamesSmithSweetwater.txt
September 15, 2009,091509_FY09-Sales.txt
May 22, 2009,20090522_CORRECTION_Wkly-Grand-Estrada-Rockport.txt
January 27, 2011,012711-1M-El_Paso_MM-Elliott.txt
Jan. 4, 2013,0104-PB-2M-JWilliams-Rockwall.txt
September 20, 2010,092010-Best-LT_8Million-Humble_FINAL.txt
September 20, 2011,0920-1M-CDickey.txt
November 25, 2008,20081125CrumpMonthlyBonus.txt
June 18, 2010,20100618-CheckPresentations.txt
Dec. 5, 2014,12-05-14_Extreme_Cash_Blast_Corpus_Christi.txt
March 8, 2004,mar_2004_14.txt
September 15, 2006,091506_Deal_Sharp.txt
Aug. 16, 2013,081613-PB-2M-PSanders-Houston.txt
Oct. 20, 2014,10-20-14_MMC_Press_Release.txt
Sept. 12, 2014,0912_LT_SanAntonio.txt
April 2, 2012,All_Or_Nothing_news_release.txt
Sept. 5, 2013,090413-PB-1M-CGean-Tyler.txt
November 4, 2010,110410-LT_Brownsville-TesoroDelrey_FINAL.txt
January 12, 2007,011207_WeeklyGrandDoskocil.txt
Sept. 5, 2012,090512_1MMBeaumont.txt
April 4, 2011,040411-2Win-CHubertBGKM.txt
October 6, 2010,20101006-TIX-RomeroThorman.txt
October 6, 2011,100611-100k-SThomas.txt
July 5, 2011,20110705-TRIP-CCrouch.txt
August 30, 2004,aug_2004_04.txt
Feb. 22, 2013,022013_Bingo_4th-QTR-FINAL.txt
Feb. 22, 2012,022212-250K_-MM-JFreeman-Loop.txt
March 8, 2006,030806_play_responsibly.txt
February 14, 2008,20080214-DSelle_3_mil.txt
February 27, 2006,022706LTchanges_FINAL.txt
June 22, 2006,062206WGLester.txt
September 19, 2005,4sept05.txt
September 19, 2006,091906GoldenTicketWinner.txt
April 04, 2008,040308SGuerreroMonthly_Bonus.txt
Aug. 15, 2013,081413-PB-2M-DBjork-Amarillo.txt
May 02, 2006,050206_Cash_five_baker_winner.txt
Oct. 2, 2013,100213-SO-5M-NPabon-Killeen.txt
Nov. 12, 2013,111213-SO-1M-TWSMITH-FTWORTH.txt
Feb. 11, 2014,02112014_Mesquite_1Mwinner.txt
April 18, 2003,apr_2003_04.txt
September 19, 2008,091908-Petey-N-MeTrust.txt
Nov. 28, 2012,112812PBJackpotAlertFINALedit.txt
March 31, 2006,042306_legend_returns.txt
November 23, 2011,112311-MonthlyBonus-Segura.txt
June 19, 2006,061906TP.txt
June 19, 2003,jun_2003_05.txt
March 21, 2003,mar_2003_05.txt
March 21, 2008,032108DealNoDealEuless.txt
March 31, 2009,033109_scam_alert.txt
Jan. 25, 2013,Sandy_Joseph_Charitable_Bingo_Director_FINAL.txt
January 27, 2005,4jan05.txt
Aug. 1, 2013,080113-MM-20M-LuckyOnes-Houston.txt
May 10, 2013,050913-4M-LT-RioGrandeCity.txt
September 9, 2009,20090909-50k-DEwart.txt
April 12, 2004,apr_2004_10.txt
August 26, 2005,4aug05.txt
May 15, 2014,5-15-14_2_5M_Cash_Blast.txt
January 24, 2003,jan_2003_04.txt
July 1, 2003,jul_2003_14.txt
August 26, 2003,aug_2003_04.txt
June 10, 2004,jun_2004_12.txt
August 23, 2004,aug_2004_08.txt
August 23, 2007,082307_1MillionExtravaganzaWinnerCharleenAustin.txt
Feb. 17, 2012,021612-1MSO-JRatliff-Waco.txt
July 1, 2009,20090701_EHR_2_5M.txt
August 26, 2009,082609_2ndQtr09_Allocations_News_Release.txt
October 8, 2004,oct_2004_08.txt
February 17, 2004,feb_2004_08.txt
August 26, 2004,aug_2004_05.txt
September 07, 2007,090707_130MillionSpectacular1MillionWinner.txt
April 17, 2009,041709Houston28MillionLOTTO.txt
June 1, 2005,13jun05.txt
June 1, 2004,jun_2004_16.txt
Feb. 6, 2014,2-6-14_Kilgore_1M_winner.txt
November 5, 2002,nov_2002_08.txt
November 29, 2011,112911-MM-KVillanueva-ElPaso.txt
October 8, 2010,100810_Gil-TIX-Texans.txt
Feb. 6, 2013,Star_Trek_Calendar_Listing.txt
September 26, 2003,sep_2003_01.txt
May 18, 2001,52.txt
December 3, 2003,dec_2003_11.txt
June 4, 2007,20070604EmailScam-2.txt
May 18, 2006,051806MegaMillionstkt.txt
May 18, 2007,051807_1000000CashBlast.txt
May 18, 2009,051809_1stQtr09AllocationsNewsRelease.txt
June 4, 2008,060408AckermanMM.txt
December 9, 2010,120910-4Million-LT-Thacker.txt
June 15, 2001,45.txt
October 21, 2005,3oct05.txt
June 15, 2005,9jun05.txt
March 7, 2014,3-7-14_Port_Lavaca_1_M_winner.txt
June 15, 2007,061507_1STQtr07Allocations.txt
August 5, 2003,aug_2003_15.txt
April 28, 2014,04282014_DreamHomeGame.txt
August 2, 2001,31.txt
April 7, 2009,20090406-100-1m-DeliQuick.txt
Dec.13, 2013,12132013_MM_Jackpot_Alert.txt
May 2, 2011,050211-Tran-Frenzy-1M.txt
August 2, 2007,08022007_100000-LBroll.txt
December 3, 2009,NCPGHolidayCampaignFinal.txt
Nov. 6, 2012,110512-1M-MERRYMILLIONS-Muilenberg-Ftw.txt
February 6, 2004,feb_2004_16.txt
February 6, 2002,feb_2002_09.txt
February 6, 2003,feb_2003_09.txt
April 7, 2006,040706TTS_monday_jackpot.txt
October 27, 2010,102710-Holmes-PBall-1M.txt
August 6, 2004,aug_2004_13.txt
Feb. 8, 2012,020812-250M_Powerball_Jackpot_FINAL.txt
May 22, 2003,may_2003_03.txt
May 19, 2013,051913_PB_2nd_Tier_Winners.txt
May 19, 2010,20100519-TTSJackpot.txt
May 19, 2011,051911_2011_1st_Qtr_Allocations-FINAL.txt
December 21, 2010,122110-50k-KHensley.txt
October 20, 2011,102011-MM1M-CaverhillMains-Junction.txt
August 1, 2003,aug_2003_16.txt
March 5, 2003,mar_2003_10.txt
March 5, 2001,70.txt
June 25, 2014,6-25-14_1_M_PB_Forney.txt
June 25, 2013,062513-20XCash-JHughes-Rosharon.txt
November 5, 2004,nov_2004_11.txt
December 07, 2011,120711-Texans-DGoodnerDeerPark-JRamirezSanAntonio.txt
March 28, 2008,032808MendezBrothersMM.txt
August 3, 2011,080311-Wilson-CFIVE-Longview.txt
June 05, 2009,20090605-10k-JDinkelmann.txt
Feb. 29, 2012,022812-MaxMil-Patel-Cushing.txt
February 3, 2003,feb_2003_10.txt
June 20, 2002,jun_2002_06.txt
September 8, 2003,sep_2003_06.txt
June 20, 2007,062007_1_Million_Winner_Ralph_Hilts_130_Milllion_Spectacular_FINAL.txt
July 6, 2009,070609_Cash_Frenzy-Kelly_Smith.txt
July 17, 2014,7-17-14_Media_Adv_Cuero_Lotto_Retailer_Check_Presentation.txt
Sept. 17, 2012,091712-DAllred-PB1M-Shamrock.txt
